TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-802.022,12.4816,7.53579,1.75677,-0.608457,-2.3381,-0.226717,2.87351,5.06389,4.22831,3.70808,3.65824,2.19119,-0.86361,-1.99014,-2.20927,-1.94155,0.127182,1.50593,0.580599,0.248494
0.023219955,-575.073,5.48507,6.99144,5.36178,8.34135,6.84489,-0.657285,-2.87033,0.242941,0.458889,-2.1679,-0.0787793,7.6111,6.09175,-3.30206,-2.21948,-0.757439,0.0881867,5.10626,2.34025,1.27424
0.046439909,-592.339,0.299099,7.69578,4.65934,7.11838,8.6915,2.50436,-0.824178,1.17046,-1.21,-5.86063,-1.38551,8.70612,10.0238,-1.5135,-3.77615,0.32269,3.88951,2.99584,-0.857037,2.03698
0.069659864,-589.091,1.51591,7.32516,4.57258,7.19174,8.3097,2.98817,0.537444,2.8226,1.13234,-3.33886,-0.259715,8.40752,7.52465,-4.64479,-6.8944,-2.37943,1.93973,3.83233,1.49945,4.09475
0.092879819,-576.103,5.18696,9.24753,5.14601,5.50153,5.63261,2.41585,0.383962,1.56613,1.17679,-3.40452,-1.77367,7.21131,6.44959,-5.26586,-7.09315,-1.81993,0.752389,1.59778,0.439835,2.79833
0.116099773,-521.687,-21.348,4.33887,0.461412,3.57844,8.2898,3.24537,5.08017,1.3263,2.71405,-1.34759,-0.818198,2.70335,2.14873,1.16106,0.819154,-2.96286,-3.20391,0.0779496,2.21222,-0.640945
0.139319728,-330.992,37.3086,-1.77909,8.70853,-7.18577,-7.21838,-8.20357,-7.9769,-2.37919,-1.39075,-1.6254,0.341504,0.4581,-0.495906,1.14589,0.706848,0.850197,-2.5418,1.20203,-0.920238,-0.324359
0.162539683,-345.037,36.8607,6.97666,11.2707,-7.1942,-6.76908,-7.36266,-9.488,-4.11015,-5.35534,-4.42382,-1.65389,-1.33404,-3.99727,-0.751384,-2.24872,0.567599,-1.61972,0.255344,0.268982,1.81838
0.185759637,-346.569,36.5941,3.67493,12.1483,-7.63957,-9.27435,-10.0628,-10.999,-5.84395,-4.40596,-3.83713,-1.46732,-2.66884,-3.43139,-0.243626,-0.754483,1.64328,-2.91778,-1.4286,-1.55388,-0.455819
0.208979592,-350.978,33.9771,0.574651,9.87343,-7.82946,-7.93266,-9.14342,-8.15473,-5.99188,-7.36837,-4.46778,0.197833,-0.143876,-1.62422,0.891564,-1.31568,2.98211,-0.243923,1.39678,-0.691219,1.61471
0.232199546,-335.832,33.4027,-2.21906,11.3973,-7.46027,-5.03179,-8.34163,-6.95366,-3.10043,-4.77636,-4.30706,-2.92046,-1.19147,-0.165152,2.1033,-0.473327,-0.275767,-1.46339,0.763697,0.329055,1.60921
0.255419501,-345.556,37.9962,1.00786,10.3205,-6.4901,-8.31197,-7.38252,-7.59049,-3.55401,-4.93496,-3.59424,-1.39836,0.532122,0.923084,3.47733,-0.754637,3.7373,-1.1567,0.997747,-0.52905,1.22317
0.278639456,-348.724,33.8118,2.35451,9.67711,-7.44143,-8.8951,-7.93592,-8.63531,-3.60294,-4.19556,-2.90718,-1.38258,-1.03872,0.555525,4.49807,-0.0826517,1.1313,-0.00491329,1.63443,-0.522977,-1.29441
0.301859410,-353.228,31.2092,0.540994,11.8716,-7.61246,-8.87283,-8.37405,-7.9365,-1.82133,-3.62908,-2.81955,-3.45811,-2.49615,-1.49581,1.82815,-0.948963,1.17536,-1.29098,0.426495,-0.483664,1.13416
0.325079365,-348.269,30.2339,-2.3363,9.31149,-6.4278,-7.53656,-9.04923,-8.51166,-3.11365,-0.972385,-3.80031,-2.29203,-0.544585,0.108723,0.031083,2.13732,5.08056,-1.58457,-0.120292,0.0499391,0.911909
0.348299320,-345.423,33.5853,0.555112,9.95322,-4.58318,-5.43938,-6.24487,-8.73986,-0.954829,-2.91222,-5.0431,-5.2281,-2.51586,-2.45556,1.5542,-1.70419,0.818202,-4.12549,-1.05207,-2.63968,0.132821
0.371519274,-350.18,25.6409,-4.20871,10.4819,-7.05501,-6.58018,-5.82375,-4.86247,-2.2952,-6.43006,-6.0327,-5.83499,-5.444,-2.12037,2.40085,-1.36978,-0.538255,-3.42911,0.497141,0.548709,1.13667
0.394739229,-348.242,29.0037,-5.41713,8.13122,-8.9575,-5.66996,-6.02742,-7.91823,-4.72832,-6.6669,-7.37104,-4.64302,-2.86482,-3.52991,-1.74883,-1.12263,2.2283,-2.9543,0.538083,-2.6231,-1.69869
0.417959184,-344.333,32.9047,-6.25593,5.94683,-9.08063,-8.44958,-5.50021,-5.07922,-3.81124,-7.4705,-10.5887,-6.21389,-2.36413,-1.37159,3.18907,2.7678,2.58203,-4.96705,-4.20137,-3.32199,-0.682404
