TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.121233,0.09023,2.28235,0.506696,1.1525,0.653765,1.13871,0.292443,0.339539,1.72321,0.23844,0.123314
0.046439909,0.116359,0.0906323,2.27351,0.523558,1.19683,0.666863,1.06033,0.29222,0.276814,1.70866,0.212604,0.120442
0.092879819,0.10948,0.0941754,2.24963,0.530409,1.22859,0.677463,0.982682,0.296679,0.291805,1.69281,0.174194,0.115532
0.139319728,0.103012,0.107176,2.25862,0.539035,1.20841,0.687989,0.866122,0.33326,0.320338,1.64612,0.180897,0.155956
0.185759637,0.16586,0.0853962,2.49451,0.553155,1.03835,0.327656,0.617874,0.441599,0.340047,1.4531,0.226099,0.000616116
0.232199546,0.143482,0.175033,2.84587,0.314877,0.915931,0.193607,0.369298,0.210636,0.109508,1.28415,0.224746,0.0198764
0.278639456,0.130533,0.105187,3.22327,0.283666,0.925344,0.306662,0.202628,0.162076,0.189171,1.38208,0.167159,0.0722837
0.325079365,0.111514,0,3.79136,0.242129,0.624553,0.364183,0.701377,0.0728873,0.1458,2.00591,0.103388,0.0915347
0.371519274,0.139567,0,3.95403,0.168231,0.445642,0.183415,1.18315,0.0513964,0.0693142,2.35595,0.199743,0.00295162
0.417959184,0.10867,0.0611268,3.74771,0.0795991,0.281938,0.094236,1.33191,0.0269133,0.12522,2.494,0.161468,0
0.464399093,0.193441,0.0431507,3.48303,0.203399,0.193177,0.0639519,1.30771,0.0449126,0.0778291,2.50219,0.182803,0
0.510839002,0.279697,0.165241,3.01018,0.392108,0.132499,0.0574689,1.15702,0.128114,0.0427277,2.30751,0.167164,0.055754
0.557278912,0.442756,0.276226,2.83276,0.390994,0.219066,0.150606,1.14124,0.193727,0.0691682,2.22141,0.195437,0.0160933
0.603718821,0.503509,0.147715,2.96972,0.413999,0.339686,0.120796,1.38774,0.180233,0.134103,2.18771,0.186926,0
0.650158730,0.476177,0.0384275,2.5457,0.505536,0.884928,0.507408,0.762738,0.2091,0.0578407,1.4545,0.165211,0.0122008
0.696598639,0.301719,0.00810094,2.41027,0.501575,1.01948,0.430966,0.688451,0.26035,0.107008,1.46611,0.193818,0.0292814
