TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-490.181,-27.1083,8.46529,0.462704,-9.54316,-5.2256,1.03241,2.9989,-0.24954,1.12073,1.19769,0.0539423,0.464141,2.60187,-1.86264,-6.11861,-3.74155,0.410355,1.6128,-0.178948,-0.0197553
0.023219955,-192.534,1.14822,-2.61788,14.0585,-4.66351,11.0771,3.46021,4.70391,3.68107,2.20725,3.3037,0.597021,3.66584,1.67809,1.48537,1.05845,2.07136,-4.56275,1.96962,-2.43376,1.91827
0.046439909,-194.776,10.6369,-8.31709,6.78561,-15.0222,3.51224,-7.89519,-3.17377,-3.19738,-2.45561,-1.4316,-2.76373,2.04211,-1.9392,-0.498395,-0.660134,-0.72678,-6.31268,0.548461,-5.95449,0.247104
0.069659864,-244.112,10.6021,4.17005,14.7531,-17.7401,5.49038,-5.39094,-1.55453,-5.85324,-1.63367,-3.8616,-3.34734,-0.955678,-4.81786,-1.41159,-1.14066,-3.40075,-6.17661,0.797029,-4.53524,-0.737201
0.092879819,-252.736,13.7288,11.1921,7.7495,-17.1249,-0.287911,-5.47356,-4.39129,-5.64426,-0.873175,-3.45771,-1.92701,0.169147,0.0993074,-2.78617,-1.07159,-3.79407,-3.84922,-4.27235,-4.01955,-3.34253
0.116099773,-284.656,12.0227,11.3754,16.0225,-5.19462,1.73798,-6.52355,-5.52494,-5.19628,-3.6281,-1.73843,-3.82623,-3.07856,-3.40507,-1.78664,-3.16502,-2.4044,-3.5519,-3.68559,-2.43429,-0.392001
0.139319728,-321.957,-4.07244,2.7837,14.7112,6.83764,9.97874,2.28971,-0.881384,0.264275,-1.9976,-2.41739,-1.66252,-1.38665,-2.62717,-0.822397,-1.52148,-3.2283,-4.36905,-3.6083,-2.3153,-3.05651
0.162539683,-318.865,-16.0565,-16.1408,11.2929,-2.47287,4.01003,-1.09639,-4.44502,-3.0911,-4.0505,-2.94833,-0.125633,-1.46667,-1.27768,-0.0439719,1.1746,-0.296395,-0.217085,-2.02573,-1.50435,-1.112
0.185759637,-338.382,-19.6868,-14.633,1.0555,-2.4715,0.788029,-4.12246,-6.84377,-6.54748,-6.11728,-4.0438,-1.28077,1.01033,1.70961,0.252357,2.14464,0.254878,0.963089,-0.616024,-0.733481,0.43635
0.208979592,-332.633,-21.9227,-10.6758,4.55954,-2.69659,2.68017,-4.93441,-4.55601,-7.89219,-4.82947,-5.1499,-4.37412,-3.28504,-0.180241,-0.113165,2.79686,0.986012,2.75211,1.72613,0.494764,2.74437
