TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.299735,0.24401,0.272692,0.109719,0,0,1.19759,1.16151,1.26286,1.04347,1.2222,0.63825
0.046439909,0.137385,0.0708278,0.128444,1.00888,0.193099,0.0768731,0.718427,1.43662,1.02222,1.0562,1.31813,0.378216
0.092879819,0.51891,0.0915541,0.117002,2.13739,0.256022,0.416907,0.372673,0.90505,0.816542,0.887247,1.40359,0.308156
0.139319728,0.644786,0.120927,0.0979355,2.80376,0.0862678,0.289208,0.241022,0.771282,0.828958,0.654903,2.06618,0.297109
0.185759637,0.644817,0.11671,0.110942,3.08039,0.0707031,0.261738,0.229868,0.58207,1.22946,0.399425,2.07926,0.332073
0.232199546,0.537497,0.266621,0.155032,2.95399,0.0940809,0.263822,0.212205,0.396484,1.93571,0.13996,2.00509,0.205334
0.278639456,0.461694,0.326671,0.236568,2.76566,0.141825,0.218066,0.189454,0.281398,2.23975,0.104587,1.99767,0.123166
0.325079365,0.298618,0.394691,0.219523,2.66473,0.0765001,0.0644307,0.177142,0.295109,2.27052,0.0561326,1.95467,0.137855
0.371519274,0.163074,0.26899,0.0784497,2.45729,0.0769693,0,0.170396,0.425674,2.39711,0.0703969,1.9948,0.170474
0.417959184,0.0621406,0.167276,0.0948969,1.97736,0.152215,0.0767315,0.219499,0.281424,2.53842,0.0200105,2.1252,0.101241
0.464399093,0.501196,0.326069,0.0492168,1.75506,0.262675,0,0.223174,0.384382,2.06209,0.150169,1.64259,0.023601
0.510839002,0.411826,0.271043,0.0225674,0.910589,0.0650565,0.49274,0.0103376,0.924322,1.51394,0.489766,0.191028,1.1966
0.557278912,0.528405,0.413647,0.138999,0.586056,0.107871,0.593569,0.00876946,0.905803,1.3696,0.520881,0.189245,1.25826
0.603718821,0.529266,0.584205,0.292397,0.391608,0.140484,0.620387,0.00832118,0.905466,1.28593,0.458716,0.194175,1.32832
0.650158730,0.490869,0.691652,0.370695,0.268534,0.154491,0.597737,0.00992833,0.95511,1.29969,0.353507,0.189127,1.4938
0.696598639,0.658688,0.78731,0.209046,0.559002,0.102348,0.632005,0.0755264,0.966972,1.34161,0.0797664,0.161268,1.64443
0.743038549,1.15346,0.18046,0.566217,1.50065,0.0192323,0.209137,0.12036,0.478547,0.771174,0.248085,0.564383,1.55438
0.789478458,1.03617,0.0774071,0.338767,1.81307,0.406247,0.163176,0.0526291,0.331976,1.88169,0.301386,0.484271,1.30493
0.835918367,0.961741,0.0570096,0.0421102,2.18352,0.339507,0.124811,0.0434747,0.453767,2.42182,0.343068,0.373275,0.869261
0.882358277,1.00583,0.131292,0,2.70961,0.243611,0.0894363,0.16753,0.645029,2.72737,0.360336,0.251371,0.273913
0.928798186,0.691208,0.0196522,0.00261816,3.00167,0.0207235,0.0872689,0.347288,0.418198,3.1588,0.303799,0.253783,0.0950761
0.975238095,0.238997,0.10277,0.0295914,2.87973,0.0880112,0.119009,0.261726,0.270883,3.25572,0.51732,0.644704,0.15361
1.021678005,0.39973,0.113363,0.132347,2.53789,0.0267045,0,0.245295,0.434403,3.10216,0.817976,0.394322,0.235072
1.068117914,0.363349,0.221526,0.206868,1.99295,0,0.179334,0.307437,0.632111,2.75169,0.847896,0.253764,0.508081
1.114557823,0.38861,0.268387,0.269156,1.86555,0,0.242282,0.316436,0.68762,2.53033,0.759837,0.177189,0.605087
1.160997732,0.57665,0.295069,0.373697,1.24041,0.725293,0.110394,0.564049,0.246907,2.27194,0.460284,0,1.32019
1.207437642,0.380507,0.322997,0.400604,0.670292,2.43873,0.209806,0.854503,0.246781,0.858488,0.357434,0.00562341,2.51245
1.253877551,0.168911,0.336153,0.271636,0.59293,2.97935,0.021924,0.870221,0.230866,0.271262,0.231614,0.0572976,2.8301
1.300317460,0.00511093,0.161224,0.21168,0.534459,3.21746,0.0330163,0.871711,0.0954398,0.318485,0.207205,0.0769221,2.96521
1.346757370,0.0810943,0.14534,0.0894023,0.447329,3.06687,0.275326,0.83562,0.0768507,0.474967,0.381317,0.247795,3.03313
1.393197279,0.0116219,0.114149,0.1003,0.373094,2.96543,0.009774,0.915302,0.0141678,0.806705,0.319715,0.232992,2.95975
