TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.092879819,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.116099773,-540.595,-24.7673,3.75058,-1.58613,0.292197,-2.86907,-1.9267,0.219443,-3.87682,3.59155,-0.119353,0.22184,0.0836984,1.41102,2.45663,2.87332,2.35643,1.02932,-2.04631,-0.0906836,1.3388
0.139319728,-223.127,17.6601,17.9908,14.1284,1.57801,14.291,-1.58506,4.1849,-6.21245,0.165158,-6.61003,0.806168,-6.55556,-0.465275,-4.24426,-0.205826,-1.76575,1.85578,-2.6185,0.800441,-3.0708
0.162539683,-226.223,19.0849,13.1852,8.91763,3.22481,12.0191,-0.911533,8.05847,0.944577,5.5958,0.286987,5.2388,-0.289193,2.96029,0.345696,2.38886,0.512144,3.05569,-1.31947,0.103388,-1.23569
0.185759637,-236.262,28.8014,14.7712,5.4343,5.14175,10.8707,0.971622,7.02798,1.99001,5.95502,0.0318142,4.11989,-0.120647,1.94297,0.0500136,3.54641,1.28271,3.68495,-0.543757,1.71814,-1.44044
0.208979592,-254.884,38.2867,17.7374,2.2559,4.53617,8.32208,4.20033,4.23566,3.43484,4.83313,0.224393,4.01911,1.19996,1.87204,0.567295,4.26011,0.959139,4.51063,-0.13147,2.62056,-0.996177
0.232199546,-271.367,39.979,23.0758,2.15154,2.13366,6.40633,4.90567,3.32617,2.10376,4.15889,2.05949,3.06356,1.10324,1.13505,1.85196,3.84362,1.18268,5.64619,0.110026,2.68125,-0.299547
0.255419501,-292.56,43.8993,28.2874,0.420641,2.70527,2.94203,5.43817,2.65458,2.53338,4.13832,1.41811,2.05217,0.957705,2.88306,0.916329,3.88308,2.81973,4.54743,1.55752,2.62904,0.224914
0.278639456,-301.651,37.717,30.2598,5.6369,1.011,-0.658077,3.84066,2.21599,2.70339,0.102089,1.75787,0.446756,0.469277,1.4721,1.08281,3.2867,2.53759,4.36867,1.75587,2.90027,-0.436621
0.301859410,-314.167,37.3521,31.6442,8.98343,1.87426,-0.907855,4.1673,1.24758,1.79681,0.584504,-0.0870259,-0.318905,-0.309741,-0.121874,0.529575,2.30785,1.5582,3.49128,1.13905,1.81712,0.879196
0.325079365,-321.011,33.5861,32.2906,11.1881,6.0683,0.841815,1.18933,-0.118237,1.6859,1.23342,1.517,-0.0944294,-1.74563,-0.27357,-0.641296,3.34323,3.60539,3.237,0.52366,1.94453,-0.478047
0.348299320,-297.619,12.4073,34.4782,19.348,0.33562,9.9262,-2.47334,2.43863,1.61483,1.91312,-3.69787,0.985916,-1.26498,1.23942,-3.58473,4.11613,3.43502,1.48001,2.42791,3.06408,-1.90939
0.371519274,-246.539,-9.14885,22.7715,24.1602,-0.124967,12.1012,-0.696192,3.68671,-3.43358,4.36234,-3.60844,1.66473,-3.25947,1.84326,-0.749459,3.22261,0.0921747,4.86296,-1.35514,3.30536,0.334881
0.394739229,-269.287,2.20954,25.6412,19.5987,-0.444693,13.0369,-1.34952,3.32476,-0.992655,5.59073,-3.21029,2.27017,-1.69463,0.38408,-2.81005,1.81756,0.714966,3.97584,-1.14608,2.1448,0.267843
0.417959184,-293.095,18.5554,22.9141,14.9885,2.69449,10.2075,2.41858,2.84386,0.776207,2.6357,-1.60249,1.70673,-2.87994,0.134079,-1.43412,0.264166,1.00364,6.86288,-0.251764,0.248084,-0.94993
0.441179138,-312.236,24.7566,27.1159,13.8515,3.00029,7.62386,4.42023,3.89915,1.84002,1.8328,-1.13643,-1.19341,-2.8475,-1.20001,0.349051,0.984462,1.71826,5.58147,0.60601,-0.868075,-1.71288
0.464399093,-320.612,27.7023,26.8688,14.2905,6.88151,3.93627,5.28696,4.23483,0.793088,0.97343,-0.307078,-0.748672,-0.853047,-0.755051,-0.893654,1.14665,2.27976,3.01719,-1.38321,0.438671,-0.584563
0.487619048,-333.418,30.9099,28.7285,15.9791,7.90992,3.19168,3.65273,5.47615,1.18362,0.697621,-0.31602,0.0374732,-2.04272,-0.865825,-0.367864,3.41836,1.36445,-0.574758,-0.487405,0.20157,-1.04852
0.510839002,-336.802,28.4243,29.5635,15.9548,13.0771,4.39748,4.34454,1.04163,1.11631,-0.895934,0.124881,0.554379,-0.236546,0.358813,-0.916074,1.34704,1.83613,0.646947,-2.36307,0.102491,-1.04478
0.534058957,-340.624,28.079,30.1509,19.109,10.867,3.65388,5.73797,2.73604,0.705578,-1.49774,-1.35893,0.0599135,-1.01042,1.7968,1.59817,2.12099,0.894232,0.509973,-2.80586,-1.8437,-0.223024
0.557278912,-341.985,26.3149,30.6787,19.448,13.3829,5.75968,2.42126,1.2392,1.98002,-0.0593194,-1.48236,0.570425,0.948385,-0.0614813,0.00963226,-1.05304,-0.363145,2.56001,0.416901,0.167713,-2.76714
0.580498866,-207.107,13.0977,5.38499,8.71357,1.80602,7.916,-2.06323,2.39796,-5.5776,-0.0361131,-5.76651,0.355274,-4.10561,3.95072,-1.27373,1.67369,-1.94522,2.80272,-1.35597,1.59181,-2.06134
0.603718821,-202.032,6.6025,3.94392,18.389,-0.942547,13.3035,2.51664,6.76846,-1.08127,10.6561,-1.57876,3.89811,-4.34525,3.37201,-2.28064,2.80717,-3.582,2.24857,-2.42776,3.90884,-1.34351
0.626938776,-216.647,13.0589,0.613089,16.1844,3.62655,18.3198,4.78116,13.0498,-0.357781,8.41425,-1.80033,6.46693,-3.33623,3.14494,-2.38622,2.63971,0.46416,4.60589,-2.35786,1.19527,-2.79166
0.650158730,-256.594,21.6608,9.0121,16.3862,9.73111,16.1296,5.62704,7.32301,2.18348,9.12481,-0.265399,3.4268,-0.627518,3.17369,1.00638,2.47075,-2.17279,1.86611,0.0371715,0.335279,0.0217197
0.673378685,-287.541,21.7477,11.5956,15.1309,8.89909,15.2738,10.1491,8.918,1.22978,6.00122,2.2153,2.98539,0.229079,3.9167,2.77094,4.48342,1.63237,2.62887,1.10238,0.446242,-1.84416
0.696598639,-301.112,22.3171,17.2923,19.1506,12.6793,14.8738,6.3616,6.07111,3.24415,8.27091,2.44456,7.22353,2.42101,0.850105,-0.787843,-0.490737,-0.93697,2.174,0.440819,2.75479,0.879313
