TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,2.15153,0.122384,0.596957,0.34415,0,0.951405,0.60251,2.14896,0.101716,0.121124,1.00817,0.0892873
0.046439909,2.63255,0.0542604,0.604005,0.370304,0,1.02746,0.536104,2.37417,0.0834656,0.112809,0.858649,0.0734364
0.092879819,3.0393,0.00432277,0.7177,0.377019,0,1.0946,0.525163,2.48844,0.0717056,0.095666,0.434763,0.0846576
0.139319728,3.20395,0.00126497,0.753151,0.391438,0,1.08002,0.52893,2.71173,0.0127363,0.111616,0.104033,0.186081
0.185759637,2.68994,0,0.660865,0.0205012,0.00211926,1.94106,0.0246455,3.06841,0.000536038,0.0889417,0.00813626,0.204179
0.232199546,2.68093,0,0.645759,0.0580343,0.0227514,1.8721,0.0318818,3.06574,0,0.00567714,0.00751002,0.24514
0.278639456,2.50085,0,0.673796,0.0347514,0.013543,2.07317,0.0352618,3.00607,0,0.194171,0.0155764,0.214702
0.325079365,2.48448,0.000549266,0.685373,0.0155175,0.0308861,2.20972,0.00716822,2.9586,0,0.150102,0.00729408,0.264563
0.371519274,2.57681,0.0616155,0.686058,0,0.126816,1.94215,0.0738354,2.81114,0.0219169,0.086745,0.104065,0.275862
0.417959184,2.28558,0.122771,0.834748,0.700508,0.180735,1.65505,0.14601,2.66068,0.0194314,0.0474733,0.119536,0.355198
0.464399093,2.32723,0.190281,0.760296,1.08186,0.23371,1.40691,0.335864,2.2367,0.0238625,0.0415312,0.138273,0.561757
0.510839002,2.45303,0.252866,0.654409,1.06006,0.330271,1.32165,0.767862,1.98621,0.0541343,0.0409516,0.141984,0.44844
0.557278912,2.65812,0.282021,0.603071,1.05304,0.39935,1.08306,0.991518,2.08437,0.0134353,0.00199063,0.133104,0.194427
0.603718821,3.13151,0.274755,0.495298,0.778583,0.259945,0.716093,0.839514,2.57205,0.0134899,0.000132423,0.0391955,0.0337974
0.650158730,2.6225,0.219352,0.648313,0.0106733,0.287653,1.53704,0.0693579,3.00374,0.137985,0,0.0386785,0.0249339
0.696598639,2.52645,0.00273076,0.614699,0,0.0403887,1.18996,0.0943245,3.12575,0.0124427,0,0.177472,0.151254
0.743038549,2.41002,0.00310544,0.785107,0,0.0419632,1.24268,0.0643486,3.0417,0.00597513,0.0542827,0.145181,0.168192
0.789478458,2.20903,0.00203141,0.819923,0,0.0331247,1.30771,0.0617089,3.1184,0.00442943,0.114375,0.136276,0.200862
