TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-781.717,-11.2992,2.96614,4.21786,-3.01556,3.2587,4.92426,3.8027,3.56579,1.63742,1.85505,-0.288191,1.41545,-2.29238,-0.757558,-1.09922,-0.929246,-4.25542,1.11448,3.66758,1.65142
0.023219955,-210.403,-30.0812,-14.1717,-6.86194,-7.6695,-2.0656,-4.19702,-0.783794,-0.604906,1.74411,-1.85656,-0.38117,-2.93389,-2.27742,-2.10039,-2.26099,-1.54169,-1.55011,-0.760658,-2.0673,0.966641
0.046439909,-192.275,-28.5723,13.5936,10.4292,-0.906433,7.19834,-0.103379,-4.90095,-4.30882,-1.71971,-6.10384,-2.62192,-5.24873,-4.48011,-3.52077,-4.6745,-5.76896,-0.985349,-2.3482,-1.57688,-1.84553
0.069659864,-206.811,-16.2238,17.3376,11.1422,-14.1824,-2.20908,-0.131776,0.848447,-6.52023,-2.13993,-3.08104,-0.717031,-7.1733,-3.45544,-0.395333,-0.299008,-3.54466,-1.65194,-1.54079,0.834677,0.0654491
0.092879819,-225.731,-8.04065,17.9314,9.07745,-15.5993,0.117711,-2.21458,0.442103,-4.05047,-0.0963624,-3.0961,-4.43815,-4.4617,-0.263313,-1.46567,0.217294,-0.259106,0.564828,-3.74924,0.0893298,-2.61325
0.116099773,-234.559,-1.05359,13.7609,3.0193,-19.3619,-0.459304,-3.97505,-0.237646,-8.43614,-4.62662,-6.00634,-5.97699,-4.67336,-3.0801,-5.2562,0.0968543,-3.23253,-0.331616,-2.57084,-3.02072,-0.548311
0.139319728,-244.51,5.01409,12.0608,-0.870979,-17.3368,3.57035,-4.5594,-2.43965,-8.96554,-2.97178,-6.66278,-7.12818,-4.46345,-2.36434,-3.49636,-1.74569,0.43984,-0.455415,-4.40496,-4.94146,0.492451
0.162539683,-254.119,12.8151,11.4343,-5.44836,-15.7439,2.70916,-5.45798,-2.29752,-6.91089,-1.40369,-6.20856,-4.83045,-6.93552,-3.38248,-2.66417,-1.70921,-0.871159,-1.24192,-1.7997,-1.90563,-0.563336
0.185759637,-265.13,21.4152,10.6918,-5.7516,-15.6343,3.7444,-4.45935,-3.67608,-5.46131,-1.00964,-7.45543,-3.29293,-5.4603,-3.99134,-4.04615,-0.98573,-1.48126,-1.38494,-0.260649,-1.93085,-1.37322
0.208979592,-280.011,32.0067,6.18911,-6.37034,-11.5137,3.94822,-3.33327,-6.18248,-5.66332,-1.6187,-6.18511,-1.7182,-6.99473,-5.77188,-1.73205,-3.15958,-1.43791,1.28957,-1.19041,-2.88391,-0.428916
0.232199546,-285.827,34.6916,6.82009,-5.57882,-11.0579,0.434105,-6.2142,-3.68371,-5.5023,-2.39141,-6.93103,-1.20716,-3.78653,-5.26642,-5.82515,-2.19577,1.34318,0.397284,0.539184,-1.80081,-0.709928
0.255419501,-262.858,19.0263,11.133,-5.71473,-11.6783,3.4558,-4.34986,-5.05994,-6.76295,0.205096,-4.7588,-4.35838,-5.00715,-7.03381,-0.433841,-2.46451,0.0565299,-1.96618,0.0414533,-2.32963,-0.956757
0.278639456,-187.957,-28.5297,15.1391,5.24707,-12.0372,-0.601301,-1.34222,-5.30004,-4.92159,-1.12933,-7.77337,-2.51024,-5.66789,-2.02471,-1.23476,-2.75919,-3.73331,0.716911,-1.61307,-1.68165,0.189643
0.301859410,-212.137,-18.038,17.3707,3.5315,-16.7521,0.873985,-0.740794,-2.5484,-7.59738,-4.23191,-7.23723,1.09407,-3.62525,-0.531978,-0.890339,-2.85837,-4.10444,-0.484911,-1.71283,-0.195666,-0.073483
0.325079365,-237.353,0.00476242,11.4901,0.483355,-13.7015,1.93785,-4.37681,-3.45793,-4.9613,-2.40829,-4.96156,-0.43469,-4.23944,-0.499543,-0.322669,-2.87077,-5.11393,-1.66211,-1.33052,0.88642,-0.158899
0.348299320,-267.424,20.4339,4.14577,3.60137,-11.7636,1.11061,-1.47144,-3.6952,-8.28401,-4.67544,-4.34215,0.0541631,-4.67443,-2.32526,-3.42672,0.265109,-2.43786,-6.08851,-3.75457,3.00501,3.47133
0.371519274,-274.394,27.7313,1.54024,2.88313,-13.1725,3.75854,-2.1437,-4.65801,-9.40533,-3.93413,-6.94661,0.603122,-2.88157,-2.11877,-4.48565,-0.225443,-1.30255,-3.08536,-4.59546,1.54772,3.8339
0.394739229,-271.544,28.0367,-2.0778,1.66702,-9.85075,-0.170182,-2.54771,-3.05496,-10.0014,-5.66947,-3.98401,0.0301394,-2.92345,-2.04358,-5.28627,-1.89752,-0.669235,-1.55188,-0.599012,2.30966,3.43335
0.417959184,-278.512,30.8181,2.78962,0.609341,-10.3547,2.75438,-0.229556,-4.47008,-7.60184,-3.42063,-4.3177,-0.565253,-3.69619,-3.47576,-4.03804,-1.2432,-0.905932,-1.24876,1.54776,3.9932,3.49984
0.441179138,-285.339,34.2356,6.49735,-3.73238,-15.043,1.20612,-2.87264,-3.43826,-3.88734,-4.63792,-7.25445,-1.07386,-3.84315,-3.42408,-2.92738,-2.16174,-1.53149,-0.920839,-0.396587,1.70117,1.20333
0.464399093,-284.695,32.5511,4.82129,-5.49909,-13.7715,1.73344,-4.73891,-4.38232,-3.21204,-1.98834,-7.21684,-0.29574,-3.0101,-2.83806,-3.3249,-0.0348115,-0.0170641,0.907637,-1.65215,0.842411,0.0586857
0.487619048,-290.251,35.1598,2.69622,-4.64761,-11.8348,-0.556123,-2.66303,-3.33995,-3.92854,-2.7614,-6.47621,0.890457,-3.68394,-3.0222,-2.57359,-1.73422,0.0741735,1.26456,-1.17965,-2.50568,-2.58431
0.510839002,-131.858,-17.342,-4.59792,-1.45166,-8.15249,0.152855,-6.91445,-6.94101,-4.58228,-1.96687,-5.41247,-0.561589,-5.0315,-1.04581,1.90207,2.83458,1.50039,2.19374,-1.18135,-0.901978,-0.271033
0.534058957,-154.493,-17.2699,-7.96169,2.74123,-5.82813,0.758091,-6.8402,-3.23565,-7.95469,-5.1347,-6.69061,-3.43901,-4.64347,-3.82366,-4.76453,-0.501244,-1.36822,-0.458984,-1.45598,-0.749839,-2.34008
0.557278912,-171.659,-11.4785,-8.61844,6.7239,-5.67069,3.2043,-5.77233,-0.32313,-5.56443,-3.65033,-5.42168,-1.63834,-2.00827,-2.31682,-3.24761,-2.05305,-2.30454,-2.68558,-2.97993,-1.22221,-0.877713
0.580498866,-188.492,-13.4992,-4.74623,7.76454,-8.79874,-1.7797,-10.0479,-2.36732,-6.6186,-4.27339,-6.046,-5.72906,-4.09665,-4.15222,-3.12912,0.00775653,-1.95609,-1.69976,-2.61313,-0.740936,0.07794
0.603718821,-206.488,-9.3561,-3.25672,8.34599,-11.4287,-2.30567,-9.00976,-2.18207,-5.17263,-2.67332,-5.83893,-6.617,-5.80331,-3.92665,-2.7144,-0.374183,-0.898659,-0.467843,-1.06219,-1.94025,-2.3236
0.626938776,-234.045,-0.630281,2.39916,5.1675,-17.2048,-1.97989,-8.13506,-3.28145,-8.41619,-3.98531,-3.76649,-3.92493,-5.21086,-5.07469,-1.59693,0.343395,0.685258,-0.258096,-2.54366,-1.14634,-3.64494
