TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.290455,0.000145883,0.0037186,1.07871,0.610765,0.311917,0.337795,0.837403,0.927927,0.582565,1.05063,1.82279
0.046439909,0.40098,0,0.00640501,1.17198,0.622307,0.246899,0.112867,0.762667,0.769194,0.508625,0.926515,1.83417
0.092879819,0.492202,0.0349298,0.0280916,1.1985,0.695858,0.285084,0,0.54191,0.746226,0.3711,0.669035,1.88012
0.139319728,0.423538,0.183853,0.109095,1.19147,0.634394,0.376865,0,0.416675,0.696012,0.344686,0.706592,1.72031
0.185759637,0.66411,0.0933249,1.14537,0.828557,0.420182,1.11492,0.0447666,0.12205,0.538906,0.171894,0.589857,1.33227
0.232199546,1.12944,0.103078,2.28581,0.350643,0,1.35979,0.334882,0.0292297,0.156994,0.16659,0.80793,0.569952
0.278639456,0.83992,0.0185337,2.50059,0.120375,0,1.42393,0.317691,0.24876,0.192037,0.207235,0.775198,0.500858
0.325079365,0.516183,0.124065,2.67505,0,0,1.13594,0.136372,0.0287208,0.11556,0.84423,0.481387,0.480621
0.371519274,0.653354,0.286303,1.54653,0.0384021,0.200603,0.312951,0.325234,0.529259,0.613531,0.0735483,0.953796,0.914726
0.417959184,0.520391,0.004365,0.81325,0.080198,0.128921,0.121549,1.16052,0.869989,0.855615,0.13197,1.27957,1.34812
0.464399093,0.0930539,3.8803e-05,0.50291,0.0767693,0.345879,0.268862,1.14037,1.06001,0.929533,0.382805,1.32428,1.51459
0.510839002,0.131444,0.000114786,0.513425,0.197335,0.366395,0.294728,1.00332,0.97655,0.808933,0.379411,1.40592,1.46373
0.557278912,0.244139,0.030085,0.500822,0.182289,0.366403,0.480781,0.888255,0.792114,0.759862,0.362895,1.4666,1.43969
0.603718821,0.222313,0.000392722,0.409192,0.107504,0.323172,0.616995,0.803259,0.717022,0.735744,0.250635,1.58314,1.41984
0.650158730,0.196176,0.0967192,0.240116,0.0923184,0.137908,0.636608,0.977179,0.42294,0.531301,0.22257,1.67952,1.41053
0.696598639,0.139706,0.675053,0.646301,0.910401,0,0.963946,0.445253,0.251701,0.0175699,0.213197,0.990604,0.944786
0.743038549,0.116582,0.03649,1.7292,0.22297,0,0.877174,0,0.142225,0.116453,0.436061,1.3692,0.638667
0.789478458,0.109988,0.017288,1.91619,0.144094,0.0153336,0.83205,0.0506032,0.127143,0.170461,0.344607,1.33929,0.616888
0.835918367,0.754353,0.496319,1.21184,0.61823,0.495066,0.26406,0.0917139,0.0928453,0.837539,0.511172,1.17708,0.177264
0.882358277,0.80082,0.425377,0.225656,0.989706,0.408321,0.0368068,0.409137,0.863921,1.01649,1.01277,0.928909,0.50319
0.928798186,0.729173,0.37189,0.00280284,1.16109,0.641831,0.160212,0.443824,0.947583,0.932136,1.32026,0.705218,0.726881
0.975238095,0.789194,0.390658,0.0302476,1.20612,0.672818,0.245434,0.276552,0.894326,0.899411,1.30428,0.538352,0.767103
1.021678005,0.907759,0.374182,0.0016326,1.15209,0.698415,0.265466,0.218258,0.738784,0.917117,1.25481,0.440553,0.810739
1.068117914,0.827644,0.451486,0.000473697,0.924913,0.696625,0.313251,0.0399929,0.67203,0.950194,1.03758,0.60165,0.702521
1.114557823,0.193607,0.120528,1.09034,0.0051343,0.180564,0.93303,0,0.530094,0.131385,0.0982547,1.50441,1.74457
1.160997732,0.167376,0.171372,1.16007,0,0.00642391,0.806368,0,0.480354,0.107933,0.0666552,1.92255,1.89384
1.207437642,0.138602,0.171999,1.03047,0,0.0179049,0.717203,0,0.484532,0.147367,0.107308,1.89536,1.85724
1.253877551,0.153948,0.178263,0.907715,0,0,0.664478,0,0.462839,0.118056,0.164158,1.83549,1.91297
1.300317460,0.515329,0.253887,0.85163,0,0.0142266,0.651041,0,0.209822,0.0675951,0.284832,1.93193,1.69498
1.346757370,0.258982,0.0758457,0.299602,0,0.339696,0.776942,0.420886,0.593012,1.25426,0.187737,1.30175,0.955736
1.393197279,0.078357,0.00028679,0.0704044,0.0253746,0.871968,0.755254,0.476702,0.852651,1.27572,0.471482,1.36885,0.897225
1.439637188,0.136985,0.000110884,0.0674845,0.14119,1.06378,0.81884,0.346559,0.860005,1.15456,0.47376,1.34103,0.926737
1.486077098,0.245936,0.0456826,0.139164,0.127603,1.31619,0.90031,0.238724,0.632918,0.972017,0.361196,1.24261,1.00516
1.532517007,0.238185,0.00596272,0.445258,0.0747521,1.44211,0.954703,0.332497,0.415688,1.03136,0.30631,1.15567,0.879108
1.578956916,0.273319,0,1.01557,0.0845552,1.05899,0.228504,0.974143,0.503252,0.920735,0.353583,0.815087,0.819326
1.625396825,0.14214,0.257299,1.11786,0.0136665,0.277619,0.214588,1.45422,0.46592,0.105843,0.287578,1.28103,1.1139
1.671836735,0.200536,0.410063,0.782944,0.175809,0.327004,0.741549,0.184273,0.252217,0.114106,0.0300167,1.92758,1.36382
