TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-704.085,12.5877,10.012,5.48105,5.25503,3.92715,2.62415,-0.198118,-1.50988,-1.58988,-1.20261,-0.120895,5.29693,6.29141,-1.12304,-4.63164,-1.05411,-0.632356,0.469842,0.896922,-0.389657
0.023219955,-582.748,0.851393,3.81148,2.86686,9.2651,10.2879,2.51285,0.876028,4.58182,2.59209,-0.582043,1.20532,7.00277,5.51358,-6.42134,-5.6106,-2.14075,0.988804,4.99614,1.76894,2.76713
0.046439909,-184.056,15.8977,-0.652672,3.80497,-2.84182,-3.32206,-4.60947,0.0828816,-6.02862,-3.94139,0.0318382,-1.25373,-4.17906,-2.49683,-3.6603,-1.91707,0.990742,-0.700436,0.21437,-0.791687,-1.43011
0.069659864,-239.788,18.4003,14.5357,19.8843,6.87326,7.46598,5.49699,4.90554,0.152122,0.123799,2.42407,-0.766965,-4.40173,0.978159,-0.703685,1.03411,-3.76348,4.41145e-05,-2.45048,-3.91818,-1.17779
0.092879819,-286.255,13.9006,16.3558,23.6558,10.6184,10.8798,5.647,7.72573,5.43971,3.05975,4.92932,1.86137,1.70048,2.88251,-0.432328,2.10854,1.01453,2.29594,0.556772,-1.61009,0.674561
0.116099773,-309.909,18.3754,19.6528,25.3599,14.7672,11.8776,4.6527,6.71039,2.5828,3.34029,2.85788,2.28604,0.342505,1.43456,0.278904,3.70835,3.7283,2.33839,0.15811,0.477737,3.22073
0.139319728,-331.931,24.2843,24.4616,27.4487,17.5825,11.2086,4.9289,4.8021,0.656763,1.31306,2.02279,3.28011,2.17482,1.13043,1.22758,0.857276,1.41395,2.78332,3.80064,1.05378,-0.613916
0.162539683,-262.48,36.4093,10.9824,10.5053,2.32592,6.58238,7.34594,8.45542,2.82379,0.323227,0.136902,1.73227,0.33908,0.541797,-0.834791,2.80698,3.48446,-0.310791,-1.78827,-1.46718,1.20809
0.185759637,-313.114,35.0219,15.8133,16.8198,13.4498,2.78183,1.78349,5.89857,2.95706,5.90023,4.96217,4.54749,2.56636,-1.28748,-1.53356,1.68749,1.66802,0.218679,1.77432,0.353445,3.99645
0.208979592,-334.427,36.1719,25.5853,20.6692,14.8917,5.78288,0.421001,6.11826,1.05217,2.23443,0.425708,2.14653,2.64224,0.542701,1.21383,2.47364,2.52838,-1.0141,1.3424,0.225797,1.02048
0.232199546,-352.549,32.2675,31.5851,20.6598,13.9314,8.98293,3.31191,4.32447,0.384385,2.1952,0.457672,2.08442,3.67099,1.2875,0.936712,3.44033,3.01417,1.30216,5.03025,1.29253,0.282554
