Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4sdydeR6pH5us3lD4Ttu7O,"It Gets Better - Chris Stussy Remix","It Gets Better (Chris Stussy Remix)","KETTAMA;Chris Stussy",2025-10-17,252500,56,false,joppe134,2026-03-03T15:24:47Z,"hard house,britse garage,house,techhouse","Steel City Dance Discs",0.559,0.927,5,-7.565,0,0.0349,0.0806,0.386,0.103,0.526,136.031,4
spotify:track:6V6TkoCe9TEVQlbR6ufhLs,"Won't Stop (Don't)","Won't Stop (Don't)","Chris Stussy",2024-12-13,233306,18,false,joppe134,2026-03-03T15:25:59Z,"house,techhouse","Up the Stuss",0.665,0.861,5,-7.18,0,0.0358,0.00106,0.774,0.103,0.712,132.699,4
spotify:track:3JrNYsMLZxd3R56UzjM4PL,"Pumpin'","Synergy","Across Boundaries;Chris Stussy;Locklead",2024-06-07,334213,56,false,joppe134,2026-03-03T15:26:17Z,"house,techhouse","Up the Stuss",0.796,0.817,7,-9.987,0,0.0525,0.0063,0.583,0.0857,0.655,132.978,4
spotify:track:3ERZzeq6sUaKuXy99pfPqL,"Darkness","Darkness","Chris Stussy",2026-03-13,234558,68,false,joppe134,2026-03-18T16:29:38Z,"house,techhouse","Up The Stuss",0.628,0.834,5,-8.262,0,0.0363,0.00202,0.921,0.198,0.333,132.022,4
spotify:track:6YnMiAJNZtqKwYgwrKSkwt,"Sakura","Sakura","Across Boundaries;Chris Stussy;Locklead",2025-09-05,384007,61,false,joppe134,2026-03-18T16:29:55Z,"house,techhouse","Up the Stuss",0.688,0.774,11,-9.533,0,0.0431,0.0446,0.897,0.112,0.28,129.995,4
spotify:track:2QJwMBAnrB6HDsS4dhTaNT,"It's About Us","It's About Us","Chris Stussy",2025-01-31,232790,50,false,joppe134,2026-03-18T16:30:24Z,"house,techhouse","CSS",0.557,0.934,11,-7.142,0,0.0357,0.000683,0.778,0.476,0.307,133.032,4
spotify:track:5ixA8fcMh0QCuG0DavMa1S,"What Are You Waiting For - Sunrise Mix","Won't Stop (Don't)","Chris Stussy",2024-12-13,231972,17,false,joppe134,2026-03-18T16:30:37Z,"house,techhouse","Up the Stuss",0.744,0.923,9,-7.454,1,0.0441,0.00129,0.552,0.118,0.355,134.96,4
spotify:track:4IkYFNnYLWZdaXJRkPtgWv,"Tremont St.","Won't Stop (Don't)","Chris Stussy",2024-12-13,230689,19,false,joppe134,2026-03-18T16:30:40Z,"house,techhouse","Up the Stuss",0.778,0.922,1,-8.658,1,0.0469,0.0487,0.908,0.119,0.863,134.985,4
spotify:track:0GZW9Lws5zcYBS6lfUu3kD,"Lost in Paradise","Won't Stop (Don't)","Chris Stussy",2024-12-13,218345,19,false,joppe134,2026-03-18T16:30:44Z,"house,techhouse","Up the Stuss",0.671,0.842,9,-8.47,1,0.0385,0.000252,0.874,0.088,0.672,133.009,4
spotify:track:1EFyjeVs4hetSVMc28Y9r6,"Go","Go","Chris Stussy;Moby",2024-11-01,196850,52,false,joppe134,2026-03-18T16:30:54Z,"house,techhouse,downtempo,triphop","CSS",0.73,0.859,4,-7.32,0,0.0358,0.000374,0.747,0.151,0.86,127.992,4
spotify:track:2TaePDvV47Eaju3cSi5TFz,"Bounce to the Beat - Chris Stussy Remix - Edit","Bounce To The Beat (2024 Remixes)","Todd Terry;Sound Design;Chris Stussy",2024-07-19,296066,49,false,joppe134,2026-03-18T16:30:59Z,"chicago house,hiphouse,house,techhouse","Hard Times",0.685,0.933,10,-9.006,0,0.0413,0.011,0.842,0.315,0.803,133.006,4
spotify:track:0GAq63lBuh1ghnowOA7H0t,"Neem De Tijd","Synergy","Across Boundaries;Chris Stussy;Locklead",2024-06-07,252537,38,false,joppe134,2026-03-18T16:31:06Z,"house,techhouse","Up the Stuss",0.75,0.658,1,-10.669,1,0.0713,0.00886,0.781,0.215,0.73,133.955,3
spotify:track:6cx255QJUvY8CMUJtRtUO5,"Sonar","Synergy","Across Boundaries;Chris Stussy;Locklead",2024-06-07,344010,23,false,joppe134,2026-03-18T16:31:09Z,"house,techhouse","Up the Stuss",0.786,0.632,7,-11.713,0,0.0567,0.000143,0.731,0.0958,0.647,134.994,4
spotify:track:0BdSyooII32I5d2H2e6mmY,"Synergy","Synergy","Across Boundaries;Chris Stussy;Locklead",2024-06-07,377153,29,false,joppe134,2026-03-18T16:31:16Z,"house,techhouse","Up the Stuss",0.674,0.924,1,-7.452,1,0.0539,0.00469,0.829,0.0623,0.695,132.994,4
