Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5k8Cdv3fo0yVSBc8R7SC9C,"Hundu Boulevard","Mysteries of the Universe","Chris Stussy",2022-06-03,402404,16,false,joppe134,2026-03-27T13:06:20Z,"house,techhouse","Up the Stuss",0.727,0.655,1,-9.025,1,0.0331,0.000141,0.726,0.218,0.4,129.996,4
spotify:track:5jcx59Ij9w4idgQwAbZ8iI,"Can't Escape","Mysteries of the Universe","Chris Stussy",2022-06-03,380278,16,false,joppe134,2026-03-27T13:06:20Z,"house,techhouse","Up the Stuss",0.794,0.951,9,-8.218,1,0.0572,0.00279,0.829,0.0365,0.875,127.987,4
spotify:track:1a4SXKsWvHmsAPpCffxhAh,"A Traveller on the Dusty Road","Mysteries of the Universe","Chris Stussy",2022-06-03,372929,14,false,joppe134,2026-03-27T13:06:20Z,"house,techhouse","Up the Stuss",0.773,0.687,2,-8.331,1,0.0444,0.0012,0.906,0.0825,0.582,130.03,4
spotify:track:3SqBuqH41gLzym3KCKyqqH,"Can't Escape - Giammarco Orsini Remix","Mysteries of the Universe","Chris Stussy;Giammarco Orsini",2022-06-03,382768,13,false,joppe134,2026-03-27T13:06:20Z,"house,techhouse,acid house,minimal techno","Up the Stuss",0.721,0.771,7,-11.648,1,0.0405,0.00226,0.698,0.0771,0.665,128.004,4
spotify:track:74umlM4HUEunb5Fq1AeLkK,"Mysteries of the Universe","Mysteries of the Universe","Chris Stussy",2022-06-03,450522,15,false,joppe134,2026-03-27T13:06:20Z,"house,techhouse","Up the Stuss",0.796,0.906,4,-10.549,0,0.0692,0.0106,0.879,0.0656,0.594,127.009,4
spotify:track:5L3jcnug2zqPgWNPL4ydtj,"Central Frenzy","A Glimmer of Hope EP","Chris Stussy",2021-09-03,388087,26,false,joppe134,2026-03-27T13:07:00Z,"house,techhouse","Kaoz Theory",0.796,0.738,10,-8.513,0,0.058,0.00612,0.892,0.0838,0.541,130.009,4
spotify:track:3i6KPCl0UdienE8ekfQ3Y6,"Riva De Biasio","A Glimmer of Hope EP","Chris Stussy",2021-09-03,390909,23,false,joppe134,2026-03-27T13:07:00Z,"house,techhouse","Kaoz Theory",0.794,0.84,10,-9.248,0,0.0726,0.000616,0.901,0.0606,0.486,129.029,4
spotify:track:50XPNmhyhAETd4YLZOJaOq,"Deviant Shadow","A Glimmer of Hope EP","Chris Stussy",2021-09-03,389173,23,false,joppe134,2026-03-27T13:07:00Z,"house,techhouse","Kaoz Theory",0.794,0.676,2,-9.547,1,0.0671,0.0475,0.827,0.0884,0.386,129.02,4
spotify:track:0XaIN4vCMeEMKg6FOmSazb,"A Glimmer Of Hope","A Glimmer of Hope EP","Chris Stussy",2021-09-03,359009,39,false,joppe134,2026-03-27T13:07:00Z,"house,techhouse","Kaoz Theory",0.796,0.885,2,-7.648,0,0.0545,0.0038,0.896,0.0582,0.535,128.999,4
spotify:track:5VN0W0jn9MtXq3kPnGCA7T,"Midnight - Chris Stussy Remix","Midnight (Chris Stussy Remix)","Solaris Heights;Chris Stussy",2021-08-13,247524,32,false,joppe134,2026-03-27T13:07:06Z,"house,techhouse","Do Not Sleep",0.789,0.822,5,-8.255,0,0.0523,0.0122,0.406,0.07,0.703,126.008,4
spotify:track:1e20Z4j3nuQP35vFtyF1JU,"Breather","Get Together","Chris Stussy;S.A.M.",2021-06-04,465322,66,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.756,0.921,7,-8.726,1,0.0701,0.0971,0.849,0.0521,0.925,125.01,4
spotify:track:3tjjpL8aXBTtQxzotfqm7i,"Spaceship","Get Together","Chris Stussy;S.A.M.",2021-06-04,407040,41,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.808,0.749,10,-9.362,1,0.0802,0.00767,0.901,0.0731,0.313,125,4
spotify:track:4ltos6QKhDDIW1JLkQwRoe,"Get Together","Get Together","Chris Stussy;S.A.M.",2021-06-04,433278,45,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.795,0.746,6,-9.083,0,0.0548,0.0000866,0.843,0.324,0.846,129.006,4
spotify:track:7taDDUJJOE76K9N3taqEaJ,"Here to Catch You","Get Together","Chris Stussy;S.A.M.",2021-06-04,391498,40,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.767,0.935,11,-7.807,0,0.0643,0.00691,0.918,0.0576,0.852,125.001,4
spotify:track:0wPFnklnT62YTxIjHcL3se,"Sirine","Get Together","Chris Stussy;S.A.M.",2021-06-04,376904,35,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.793,0.683,7,-9.525,0,0.066,0.012,0.877,0.0907,0.867,134.992,4
spotify:track:7wcMCAO9SOdGMOq7oTmbSX,"Sonic Mana","Get Together","Chris Stussy;S.A.M.",2021-06-04,487500,40,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.785,0.846,4,-7.53,0,0.0412,0.0119,0.686,0.19,0.826,128.001,4
spotify:track:4dY1nBXnHLtqNIcNtT9WZw,"Never Lazy","Get Together","Chris Stussy;S.A.M.",2021-06-04,367924,30,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.73,0.913,11,-7.854,0,0.0426,0.000109,0.862,0.0888,0.808,127.997,4
spotify:track:5T1UxwOIcqmoZ8KnQu5rE4,"Ethernity","Get Together","Chris Stussy;S.A.M.",2021-06-04,434880,29,false,joppe134,2026-03-27T13:07:11Z,"house,techhouse","Up the Stuss",0.805,0.852,4,-8.558,0,0.0499,0.000199,0.841,0.074,0.587,124.993,4
spotify:track:6XllFT2tDu8xd85UM6sNDj,"Take A Leap Of Faith","Take A Leap Of Faith","Chris Stussy",2021-01-25,398374,31,false,joppe134,2026-03-27T13:07:15Z,"house,techhouse","Constant Sound",0.798,0.524,7,-12.628,1,0.0529,0.0763,0.859,0.13,0.617,132.003,4
spotify:track:5CnoYscC4o6qYCI8qCfhxK,"Take A Leap Of Faith - Relic Remix","Take A Leap Of Faith","Chris Stussy;Relic",2021-01-25,362645,9,false,joppe134,2026-03-27T13:07:15Z,"house,techhouse,raï,franse r&b","Constant Sound",0.8,0.927,11,-10.558,0,0.0559,0.00106,0.94,0.0784,0.745,130.028,4
spotify:track:2Hro525KOO1Y7KVNogU7U4,"Point Loma","Take A Leap Of Faith","Chris Stussy",2021-01-25,410368,14,false,joppe134,2026-03-27T13:07:15Z,"house,techhouse","Constant Sound",0.801,0.836,7,-10.183,1,0.0583,0.000416,0.875,0.0962,0.307,129.001,4
spotify:track:7xTlgtqZOAbhGGvNDiF6QB,"Limerence","Take A Leap Of Faith","Chris Stussy",2021-01-25,390820,15,false,joppe134,2026-03-27T13:07:15Z,"house,techhouse","Constant Sound",0.805,0.692,7,-14.061,1,0.0567,0.00119,0.933,0.105,0.689,129.004,4
spotify:track:24G5CdCUa1eUnkfEddidTZ,"Across Ocean","Across Ocean","Chris Stussy",2020-10-12,210947,41,false,joppe134,2026-03-27T13:07:20Z,"house,techhouse","PIV",0.686,0.776,0,-8.64,1,0.0704,0.00069,0.869,0.128,0.545,128.006,4
