TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0.702624,1.03475,0.293864,0.715635,0.258153,0.91338,0.784906,0.11027,0.396496,0.777288,0.593511,0.92791
0.185759637,0.722894,1.00163,0.0641403,0.893718,0.340548,0.995998,1.06752,0.0529728,0.49523,0.922734,0.841628,0.53138
0.232199546,0.910266,0.981468,0.0729636,1.00272,0.318138,0.956972,1.09721,0.0735875,0.531812,0.840397,0.928508,0.502455
0.278639456,0.871736,0.994863,0.221124,1.02315,0.316269,0.869564,1.03743,0.0643058,0.557321,0.621523,0.963355,0.539978
0.325079365,0.901629,0.974857,0.281608,1.17887,0.295484,0.79243,1.05035,0.0734596,0.530786,0.570799,0.967577,0.534264
0.371519274,0.870481,0.802635,0.283243,1.3733,0.332406,0.64444,1.11892,0.110041,0.433382,0.336491,0.905128,0.620851
0.417959184,0.214967,0.524336,0.248233,1.3716,0.890796,0.766867,0,0.436962,1.2959,0.0408032,0.721211,0.599474
0.464399093,0.773582,0.961157,0.12544,0.318898,1.00161,1.05074,0.00482948,1.41425,1.20992,0,0.215934,0.953288
0.510839002,0.817257,0.973854,0.092516,0.317121,0.852259,1.11151,0.00551304,1.28425,1.16021,0,0.297503,1.34704
0.557278912,0.319366,1.04095,0.0822206,0.345814,0.824361,1.12147,0.00481914,1.39009,1.15714,0,0.323381,1.79427
0.603718821,0.322112,1.2618,1.65321,0.328344,0.731927,0.634075,0.272768,0.510038,0.349215,0,1.64195,0.649269
0.650158730,0.277034,0.929934,1.62315,0.19462,0.495737,0.643906,0.664813,0.275434,0.36266,0.225203,1.64943,0.583541
0.696598639,0.415424,0.880832,1.66014,0.139241,0.641018,0.496336,0.685417,0.201562,0.37409,0.221868,1.54419,0.521735
0.743038549,0.356941,0.828813,1.75854,0.114489,0.52507,0.360906,0.627419,0.164338,0.332396,0.0718343,1.43295,0.58775
0.789478458,0.280331,0.830079,1.79089,0.125608,0.623571,0.339978,0.628428,0.143683,0.199083,0.0262099,1.30127,0.539009
0.835918367,0.184239,0.807637,1.69133,0.143482,0.88847,0.285834,0.671684,0.172823,0.043339,0.000578993,1.51423,0.476417
0.882358277,0.242899,0.906237,1.3568,0.416142,1.05889,0.0964045,0.665105,0.44974,0.0197753,0.000595648,1.24038,0.000347803
0.928798186,0.33962,1.38701,0.974264,0.194335,0.905888,0,0.886865,0.443239,0.00306666,0.122836,1.24873,0.0501957
0.975238095,0.499112,1.44731,0.583257,0.0562084,1.18709,0,0.619173,0.110253,0.0767469,0.300678,1.08155,0.0710928
1.021678005,0.472024,0.855496,0.607013,0.0697698,1.619,0,0.733692,0.00957777,0.365224,0.162917,1.15282,0.109761
1.068117914,0.947069,0.821194,0.471355,0.22564,0.601811,0.592636,0.6235,0.0481486,0.253824,0.836339,0.833425,0.974606
1.114557823,0.654672,0.832681,0.234997,0.459881,0.393367,0.747271,0.914676,0,0.528863,1.15777,0.872278,1.13421
1.160997732,0.653162,1.00754,0.212812,0.875738,0.292067,0.808573,1.30178,0.0230589,0.485466,1.29836,0.978711,0.843092
1.207437642,0.737637,0.977363,0.305867,0.954418,0.276091,0.867148,1.25672,0,0.54618,0.978371,1.01499,0.807366
1.253877551,0.819817,0.0790699,0.460362,1.3783,0.262017,0.622125,0.891121,0,0.195246,0.898758,1.18543,1.37059
1.300317460,0.689627,0.19453,1.69518,0.548393,0.943904,0.229246,0.41973,0.0780252,0.0161557,0.651752,1.3153,1.2361
1.346757370,0.701381,0.312307,1.73556,0.485774,0.911507,0.0435659,0.504008,0.426774,0.0289205,0.685982,0.984756,1.25916
1.393197279,0.744685,0.360444,1.65963,0.261017,0.583793,0,0.702221,0.67823,0.141553,0.468559,0.921233,1.21197
1.439637188,1.08789,0.2546,1.6067,0.24337,0.309244,0.0468896,0.826055,0.456147,0.444078,0.236868,0.975023,1.23812
1.486077098,1.10262,0.38152,1.17856,0.404696,0.543823,0.00814083,1.06449,0.717893,0.307172,0.0234597,0.483536,0.861192
1.532517007,1.30834,1.37072,0.287993,0.00848798,0.941058,0.717365,0.168542,0.201815,1.10119,0.072711,0.818199,0.186665
1.578956916,1.27182,1.0698,0.163267,0.275494,0.739569,0.56665,0.156447,0.00930595,1.31205,0.31924,1.00424,0.0191833
1.625396825,1.49042,0.973371,0.215648,0.403693,0.856387,0.553224,0.0831763,0.017479,1.23124,0.256659,1.08961,0
1.671836735,1.51012,0.81711,0.385481,0.380314,0.767782,0.538553,0.0230219,0,1.32642,0.0576113,1.13742,0.0110494
1.718276644,1.50053,0.681176,0.449275,0.59272,0.820154,0.420589,0.0344928,0,1.10616,0.0121884,1.14939,0
1.764716553,1.32181,0.592336,0.437414,0.750574,0.83271,0.264384,0.0217632,0.00138029,0.901104,0.000602486,1.02977,0.037764
