TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.069659864,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.092879819,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.116099773,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.139319728,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.162539683,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.185759637,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.208979592,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.232199546,-559.047,10.1647,7.69451,5.21694,5.13031,1.45769,-4.11518,-4.64112,-0.731532,4.01342,2.74595,-2.16392,-0.478964,-1.55468,-5.25346,-0.526953,-3.19376,-7.85424,-0.0315739,3.11861,-0.683537
0.255419501,-411.072,-4.00063,6.71764,3.12218,0.559613,-3.8678,5.68654,2.17599,1.55373,-2.7494,2.9345,2.80818,1.67078,-1.18914,2.24644,1.12601,0.407772,0.185788,0.9369,0.134447,-0.840698
0.278639456,-197.944,10.866,16.4679,6.38603,8.87647,0.800345,11.7027,0.412859,-1.07359,-0.242893,-3.32209,3.19854,-0.360237,-0.903197,-2.85007,0.467187,-1.75485,-1.43714,-3.74573,-0.678885,0.264305
0.301859410,-236.086,11.1754,15.9635,15.4601,13.895,4.06521,10.6272,5.09078,5.30758,3.86279,0.864709,0.836524,-2.43985,-2.70115,-1.82649,0.27468,-1.18704,-0.654804,-0.985383,-3.19133,-2.33204
0.325079365,-263.983,18.7977,8.88821,22.3117,15.3803,6.10729,11.2792,7.67487,3.52208,3.11301,1.5631,3.3061,1.42365,2.05843,3.77897,2.94902,2.05405,0.778722,0.744689,0.351067,0.449541
0.348299320,-259.276,4.83762,11.7979,15.7417,20.2435,7.71405,12.4931,10.0367,6.72179,5.78556,5.81723,3.68403,2.99603,1.3048,1.1393,0.0201777,0.370497,0.172509,-0.940223,-1.41781,-0.68754
0.371519274,-279.22,14.9568,1.79861,22.922,17.0356,6.68321,10.8179,10.7151,6.89453,5.42811,6.40273,5.60374,3.93271,3.09924,3.57018,1.44703,2.60007,0.0725653,-0.657655,0.957352,0.450768
0.394739229,-273.374,7.7883,6.64941,19.2345,19.7873,6.15166,12.3043,9.78981,5.06893,6.12676,5.20859,6.581,1.67904,4.01479,2.7534,3.87813,0.566688,-0.185959,-1.43552,-1.76939,-1.66576
0.417959184,-216.797,-2.34469,17.1718,10.3166,4.83054,-3.72556,6.64525,2.01374,7.071,8.41263,4.1922,6.81573,5.31617,5.47446,2.16718,2.9124,1.22214,2.55728,0.667958,-0.0517932,1.01438
0.441179138,-250.383,-8.43877,-1.40553,19.9521,5.2652,9.82687,12.6731,7.08363,8.9226,9.65034,6.55189,7.23307,4.43556,4.02418,2.43277,3.92352,1.3164,1.94977,-1.7537,-0.486549,0.0555514
0.464399093,-255.178,-5.04472,-6.83369,21.6424,0.931552,9.31436,7.8293,7.54693,7.16855,10.125,5.49149,8.13729,5.3341,5.10939,3.12738,2.75437,-0.1109,1.09327,-0.0121207,1.37616,0.36809
0.487619048,-258.114,-11.6463,-8.17474,16.8719,0.310258,4.53978,8.09609,6.57935,10.1303,8.39653,4.93412,4.51856,5.08407,2.92804,3.40701,1.69478,-0.029766,-1.39081,-1.02363,-0.443213,0.562168
0.510839002,-204.89,-32.6257,11.8395,-6.97935,-2.69377,-5.75972,3.17651,-0.884046,-2.71702,0.248741,-2.91107,0.449125,-1.59373,0.992548,-1.08021,0.700178,-2.88048,1.11052,-0.24369,0.828776,-0.189823
0.534058957,-256.703,-39.6675,6.41914,-4.55671,1.85385,-2.32347,1.73557,1.95932,0.673675,3.39336,-0.664378,2.60371,1.24139,2.99655,1.27577,1.81086,0.431428,1.35497,1.47162,1.55342,1.00749
0.557278912,-283.746,-46.0246,1.60859,-5.58607,2.51784,-3.32,1.20522,2.10751,2.21865,2.2176,3.13879,4.76444,1.05726,3.04303,3.9556,3.95619,2.01499,1.10987,1.12116,1.2686,0.479448
0.580498866,-297.3,-46.0314,-2.82567,-9.36219,1.63658,-4.99474,-0.294332,2.85599,0.320224,0.652814,2.73221,4.50483,2.83301,4.47843,3.6607,3.78069,3.91397,3.9737,3.91807,5.03367,3.54209
0.603718821,-307.514,-42.5754,-6.51298,-11.364,1.53628,-7.64057,-1.67208,1.49997,0.84921,0.651467,3.90571,4.93173,2.66058,5.53788,3.5643,6.45336,4.59363,3.79977,2.0839,2.78671,2.96224
0.626938776,-296.201,-42.3029,-14.4331,-8.66786,-3.17552,-5.87089,4.04094,1.06364,0.779863,1.73459,-0.436152,5.27037,3.4096,3.83506,0.563526,2.22287,2.56452,2.74622,2.83681,1.93035,1.35503
