TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0.931986,0.419869,0.835459,0.216886,0,0.271075,0.0219522,0.391105,1.24494,0.574876,0.0314088,0.81625
0.371519274,0.930398,0.532864,0.67706,0.174292,0,0.636421,0.024944,0.326788,1.06883,0.522798,0.125198,0.807635
0.417959184,0.846898,0.431945,0.457886,0.195478,0.0918981,0.934277,0.0332948,0.344989,1.06455,0.651043,0.292898,0.643755
0.464399093,0.446868,0.184893,0.499312,0.106745,0.197838,1.18117,0.0725922,0.360276,1.24724,0.964938,0.398997,0.474681
0.510839002,0.240699,0.246554,0.579834,0,0.171069,1.18322,0.124692,0.218354,1.32637,0.917111,0.415559,0.948949
0.557278912,0.551119,0.226323,0.649539,0,0.109276,1.0795,0.376077,0.055622,1.22868,0.631029,0.404485,1.23657
0.603718821,0.737967,0.37589,0.714733,0.00497126,0.144674,1.09955,0.444422,0.0537526,0.888106,0.484035,0.442022,1.10302
0.650158730,0.698613,0.498673,0.60529,0.0191164,0.11577,1.1595,0.310257,0.0955719,0.781552,0.658255,0.579432,0.626762
0.696598639,0.787231,0.58734,0.666032,0,0,1.04278,0.253513,0.185303,1.10061,0.771428,0.553432,0.539406
0.743038549,1.24018,0.704434,0.60145,0,0,0.687737,0.107043,0.210576,1.3332,0.892048,0.356602,0.978691
0.789478458,1.38582,0.397095,0.62694,0.3589,0,0.0734202,0.065924,0.0612552,1.24584,0.79195,0.244016,1.17882
0.835918367,1.0585,0.296696,0.639579,0.498356,0.0173243,0.10614,0.105621,0.0598673,0.953294,0.99436,0.237339,0.928937
0.882358277,0.652437,0.350561,0.560247,0.416716,0.154693,0.154057,0.187024,0.070393,0.806359,1.28991,0.265056,0.569778
0.928798186,0.99125,0.427176,0.492669,0.14493,0.0822475,0.20708,0.304627,0.102243,0.797656,1.17287,0.237024,0.735492
0.975238095,1.38276,0.404878,0.551541,0.243246,0.0325323,0.14881,0.370125,0.143712,0.953856,0.703935,0.206646,1.05861
1.021678005,1.46684,0.164032,0.397474,0.578269,0.0205385,0.162452,0.26665,0.119123,1.37187,0.578991,0.109253,1.18603
1.068117914,1.46877,0.155646,0.364533,0.70732,0.0288283,0.118426,0.235588,0.0978925,1.44489,0.931221,0.0922854,0.909804
1.114557823,1.30405,0.163238,0.30483,0.803964,0.0615515,0.0794634,0.214575,0.0983135,1.23818,0.882948,0.0784633,0.562487
1.160997732,0.668629,0.339308,0.300645,0.54926,0.147837,0.63522,0.0773183,0.253672,1.16323,0.633425,0.110116,0.585486
1.207437642,0.365984,0.41539,0.217,0.357922,0.32062,1.14065,0.0395229,0.423853,0.892719,0.6269,0.317779,1.28495
1.253877551,0.209372,0.520648,0.539224,0.239976,0.478422,1.39975,0.0462898,0.31807,0.725444,0.457492,0.317618,1.3723
1.300317460,0.105692,0.65433,0.66241,0.00864961,0.41171,1.57485,0.0206641,0.0694535,0.841503,0.214101,0.342156,1.39184
1.346757370,0.330456,0.94737,0.445615,0.289709,0.222206,1.36782,0.162505,0.0150405,0.811311,0.183105,0.34366,1.27675
1.393197279,0.493079,0.854685,0.332122,0.378583,0.2399,1.20647,0.121405,0.29834,0.888767,0.347166,0.311024,1.19156
1.439637188,0.591629,0.94511,0.262844,0.345357,0.313185,1.20839,0.161567,0.280369,0.928235,0.544448,0.200516,1.09137
1.486077098,0.638459,1.47833,0.10201,0.392911,0.431942,1.06752,0.402986,0.118513,0.783046,0.364294,0.185359,1.19444
1.532517007,0.541461,1.70896,0.147953,0.437651,0.535824,0.881647,0.439431,0,0.65906,0.255602,0.246072,1.58693
1.578956916,0.528565,1.59447,0.101791,0.45046,0.512296,0.474162,0.328026,0.0886491,0.720227,0.28423,0.298405,1.40002
1.625396825,0.6403,1.49341,0.12652,0.469758,0.40595,0.227089,0.213396,0.126354,0.787862,0.255994,0.498822,0.958724
1.671836735,0.755557,1.14046,0.188915,0.27307,0.307504,0.404892,0.133679,0.0579092,1.17065,0.206125,0.4974,0.854467
1.718276644,0.964039,0.910877,0.216957,0.20486,0.479193,0.891465,0.0912732,0.0794,1.28374,0.219095,0.173473,0.951291
1.764716553,1.06439,0.88106,0.149988,0.139145,0.471328,1.27076,0.0807649,0.100286,1.17166,0.829715,0.104198,0.67333
1.811156463,1.20846,0.946754,0.097652,0.0561366,0.432498,1.26102,0.212409,0.124309,1.01964,0.996026,0.34565,0.573094
1.857596372,1.04731,0.894231,0.156186,0.0784927,0.499736,1.09195,0.247559,0.0673642,1.20778,0.340178,0.433246,1.03227
