TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-563.188,5.03529,3.0356,0.391146,-0.750514,-3.63657,-3.25678,-1.92319,3.63298,5.60705,2.49731,2.78109,4.97832,3.52137,-2.84033,-4.50493,-3.35899,-0.525039,0.981566,2.45729,2.53468
0.069659864,-480.02,5.83396,3.9796,-1.88059,-9.19796,-2.10336,0.404742,-1.70642,-5.02564,-1.32798,-1.67477,-0.105051,-0.65853,-4.28748,-3.18717,-0.672718,0.134484,-0.69188,-0.0351157,1.34674,1.73662
0.092879819,-452.232,6.56056,3.22262,-2.10026,-2.19137,-3.35697,-3.24283,0.586174,-0.618401,-0.972942,-1.08397,0.395129,-0.333007,-2.49185,0.984163,0.714733,2.91787,3.22181,3.39065,0.0610351,-1.90506
0.116099773,-429.04,5.87508,2.6041,4.53314,-2.97701,-5.97236,-5.29766,-1.16337,-2.58157,1.65865,-0.940489,-1.61895,1.50459,-2.88173,-1.71648,0.814434,2.8898,2.09325,1.34882,-2.04008,-0.934355
0.139319728,-427.458,4.46306,2.75959,0.79,-2.42088,-1.24348,-5.55703,-0.939934,-3.55672,-2.7692,0.183361,-0.507045,-2.30538,-2.78798,-0.409764,-1.14406,2.75209,-0.477335,-0.517696,-1.98758,-1.00881
0.162539683,-417.71,8.7674,7.34177,2.60458,-4.41501,-2.85066,-4.53307,-1.29023,-4.31724,-0.199739,0.606304,-0.62751,-1.83044,-2.73002,-1.89429,-0.563561,1.25669,2.38204,-0.252507,0.695975,-1.9015
0.185759637,-403.939,8.82857,4.73853,0.235374,-6.44256,0.458106,-6.2337,-2.34903,-0.496934,-0.676365,-0.538027,1.41362,1.49055,-1.21783,-1.78968,0.868843,-0.0918364,0.34253,0.663832,0.950664,1.23293
0.208979592,-393.9,1.93469,-3.06595,2.55809,-1.46733,-2.76919,-3.79714,0.338165,-0.688993,1.06459,-0.615212,1.45879,-0.91376,0.526473,-1.22683,0.990624,1.63247,2.12616,0.778593,-1.84891,-1.22285
0.232199546,-401.632,5.07396,6.84975,-3.58285,-8.72447,-4.08172,-4.39909,-1.47515,-3.81795,-1.54088,-2.22301,1.07242,-1.74869,-1.6823,-3.05141,-1.42965,-1.2232,0.629745,-2.00637,-2.409,-2.68061
0.255419501,-393.273,8.91461,9.30157,0.226066,-5.79012,-2.45374,-5.98293,-1.8709,-2.87278,0.401129,-2.60435,0.392653,-1.0661,-0.889428,-1.52672,3.20908,1.44282,3.25992,1.37622,3.86912,-1.71331
0.278639456,-390.429,9.07228,10.0066,-2.22239,-6.7091,-1.70225,-3.35362,-1.53863,-3.45167,0.253817,-3.99912,0.865556,-1.37084,-0.5088,-4.30962,-1.69872,-2.59599,1.22305,1.27252,-1.67393,-1.30569
0.301859410,-388.256,9.00671,8.66162,-5.36364,-8.4519,-5.29628,-5.28305,-1.38434,-4.39901,-0.66459,-2.97767,0.875415,-0.501839,-1.00224,-3.21846,1.41318,-0.611959,2.65285,0.204443,0.6705,-2.39516
0.325079365,-382.797,8.33488,5.57935,-4.42405,-8.86588,-3.58683,-5.56293,0.785835,-4.40295,0.442477,-2.84845,0.745048,-1.50055,-1.35844,-4.40649,-0.0284096,-0.958319,2.95764,0.132992,-1.57713,0.281913
0.348299320,-381.477,13.3782,9.79541,-5.49795,-4.88362,-3.33963,-5.14664,1.17439,-2.16957,0.43934,-1.19133,2.00874,-1.18591,-2.6018,-2.83248,2.1299,-0.559886,3.45,0.150458,-0.718302,-0.50447
0.371519274,-341.816,13.5848,-7.85475,-0.476246,0.400813,1.09065,-0.336808,-6.79766,-1.8433,-0.977158,-1.13432,-2.28588,-1.97798,-1.58665,-4.48728,0.318482,-0.637576,-0.629105,-2.1241,0.816452,-0.647173
0.394739229,-366.656,13.5405,6.18064,-4.24119,-5.02063,-4.05004,-3.22718,-2.13772,-1.09149,3.66021,-1.36911,-0.672738,-3.98847,-2.67113,-5.62895,-2.86831,-0.66833,0.874093,-1.04994,1.35353,-1.00414
0.417959184,-367.801,15.2163,3.00118,-5.15431,-5.76851,-4.77454,-0.981901,-0.177108,-1.34222,1.66595,-0.728432,1.977,1.26866,2.41103,-0.0835383,3.48643,2.23618,3.46476,1.24469,1.25867,-0.911758
0.441179138,-365.07,14.7198,4.02032,-2.17905,-3.86691,-4.24537,-3.81074,0.449548,-4.00244,2.08087,-0.295923,3.86835,0.252216,-1.14581,-4.79341,0.0704949,-1.38696,4.31727,2.10996,2.83506,-0.273644
0.464399093,-369.492,16.3024,6.9438,-4.29994,-6.00928,-2.28654,-3.36378,2.94909,-3.02479,0.413576,-1.85599,1.67707,-2.16352,-0.486843,-3.36748,1.4655,2.18347,5.59372,2.77717,1.7356,1.15976
0.487619048,-369.237,17.2408,7.70723,-5.38407,-3.10081,1.43946,-0.386253,-1.00191,-5.12901,-1.90943,-5.4396,-1.02068,-2.20559,0.414417,-3.21272,-0.938932,-0.409505,1.96038,-1.78782,0.324903,-2.9234
0.510839002,-359.928,21.6161,8.82261,-5.32368,-4.5839,-3.12852,-2.88971,-2.98264,-6.17618,-0.025033,2.54215,2.62627,-2.05761,0.316366,-3.45895,-1.28216,-2.67794,2.85618,-0.165318,-0.511702,-2.87443
0.534058957,-356.933,23.5448,9.99097,-5.35787,-3.21458,-4.2812,-3.87548,-1.13778,-3.81768,-0.174408,-0.946503,0.211355,0.000199887,-0.661679,-3.75467,-1.2159,-1.68101,0.432885,-2.01836,-1.80362,-2.15508
0.557278912,-355.801,20.8643,2.61658,-6.06559,-5.63878,-4.00359,-1.16826,0.258075,-3.63007,-2.93672,-4.07245,-2.57389,-3.58466,0.164108,-3.07062,0.796471,1.60663,2.41656,-1.79136,-0.125452,-4.32255
0.580498866,-353.146,17.0864,1.89247,-2.47109,-7.7184,-6.43143,-0.766007,-0.553673,-2.90545,-3.25915,-0.262519,2.71582,-1.97639,-0.746903,-1.91943,0.964507,0.13475,3.42287,0.796121,3.11862,0.200318
0.603718821,-355.238,20.0658,7.30818,-1.81562,-6.62034,0.456613,2.4689,-0.415195,-3.70136,-0.676742,0.0857679,-1.04018,-4.2561,-1.74758,-4.19838,-2.8978,-3.33721,0.347921,-1.95413,-0.92982,0.999625
0.626938776,-346.226,23.4501,7.26431,-4.62876,-8.12095,-5.40415,-2.11471,1.86256,-4.19251,-2.60445,-2.69467,2.26441,-0.125268,-2.95761,-3.87289,0.434794,0.67606,1.22461,1.30845,2.10545,-0.167915
0.650158730,-355.092,20.748,5.81674,-9.48861,-7.61664,-2.54703,-3.22238,-0.807212,-5.21593,0.0554623,1.92053,1.89021,-3.04162,-1.17562,-5.40491,-1.77741,-3.1424,-0.688618,0.611002,-0.494495,-2.40452
0.673378685,-347.465,24.8822,6.6576,-8.18475,-5.27712,-0.791202,-2.11995,-0.529886,-3.03294,0.393384,-0.231712,0.794845,-3.3367,-3.17221,-2.91379,0.149435,1.2772,2.93932,1.28345,1.33836,-0.872979
0.696598639,-344.896,26.4701,8.52008,-7.70493,-6.64372,-1.86581,-3.1379,-0.0256435,-6.26799,-0.361544,1.13768,5.3271,0.214296,-0.618863,-3.95936,-1.46426,0.108087,5.11565,1.89645,-0.46715,-1.12501
